simulation_id,scenario_name,truth_model,participant_id,trial_id,display_size,paradigm,exposure_ms,shown_letters,response_letters,n_shown,n_reported,n_correct,n_incorrect,replication_id,unit_seed,trials_per_cell,run_block
1,S01_old_lowC,old,1,1,6,whole,20,SRQVZA,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,2,6,whole,20,WXKQPC,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,3,6,whole,20,MGUZJK,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,4,6,whole,20,AXKZLJ,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,5,6,whole,20,NLJPWC,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,6,6,whole,20,FDJTRV,V,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,7,6,whole,20,ACZYWB,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,8,6,whole,20,SXYTPW,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,9,6,whole,20,AUXMKJ,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,10,6,whole,20,EAGKFC,A,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,11,6,whole,20,PQVGWA,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,12,6,whole,20,EXNDZS,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,13,6,whole,20,SNBLYH,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,14,6,whole,20,ALHGFJ,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,15,6,whole,20,GWDVRX,W,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,16,6,whole,20,XAWBDL,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,17,6,whole,20,NCMBVT,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,18,6,whole,20,QKLBVT,Q,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,19,6,whole,20,FXNMYS,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,20,6,whole,20,FJXVSZ,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,21,6,whole,20,TCFSVN,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,22,6,whole,20,BMLRNV,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,23,6,whole,20,KLHCBA,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,24,6,whole,20,XSHRUY,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,25,6,whole,20,HCJKNR,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,26,6,whole,20,XZKYDC,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,27,6,whole,20,SRDJTB,R,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,28,6,whole,20,ALSYEQ,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,29,6,whole,20,ATSVYH,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,30,6,whole,20,AHLJDP,D,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,31,6,whole,40,HCNEXK,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,32,6,whole,40,KHNYVZ,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,33,6,whole,40,TVLYNC,L,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,34,6,whole,40,KFUVQE,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,35,6,whole,40,MFVUSQ,Q,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,36,6,whole,40,ADGJCZ,C,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,37,6,whole,40,KPHEWQ,W,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,38,6,whole,40,LMCGWQ,L,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,39,6,whole,40,SNXMJR,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,40,6,whole,40,GPLXJU,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,41,6,whole,40,FRBDJW,B,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,42,6,whole,40,UMYPFK,MK,6,2,2,4,1,3003105692,30,main
1,S01_old_lowC,old,1,43,6,whole,40,ZPHBYU,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,44,6,whole,40,GLEWHM,W,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,45,6,whole,40,BUKCLR,K,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,46,6,whole,40,LFXJNB,J,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,47,6,whole,40,GZQMAU,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,48,6,whole,40,ETJBCX,T,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,49,6,whole,40,GYRKXU,X,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,50,6,whole,40,KPUQTL,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,51,6,whole,40,NYESWC,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,52,6,whole,40,UMWRXA,R,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,53,6,whole,40,VLGHCY,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,54,6,whole,40,CHRXWJ,C,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,55,6,whole,40,HJNYFA,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,56,6,whole,40,JXUYMB,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,57,6,whole,40,RLEJQK,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,58,6,whole,40,PNEXYT,Y,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,59,6,whole,40,HFNLGP,L,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,60,6,whole,40,SZKRCD,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,61,6,whole,60,VYBWNC,N,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,62,6,whole,60,EJRDWS,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,63,6,whole,60,RLXAZY,AR,6,2,2,4,1,3003105692,30,main
1,S01_old_lowC,old,1,64,6,whole,60,KFHTNA,-,6,0,0,6,1,3003105692,30,main
1,S01_old_lowC,old,1,65,6,whole,60,UFCLGT,L,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,66,6,whole,60,KGXEUC,X,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,67,6,whole,60,LJGPEW,JW,6,2,2,4,1,3003105692,30,main
1,S01_old_lowC,old,1,68,6,whole,60,MVCYLF,MV,6,2,2,4,1,3003105692,30,main
1,S01_old_lowC,old,1,69,6,whole,60,THKEVA,EKH,6,3,3,3,1,3003105692,30,main
1,S01_old_lowC,old,1,70,6,whole,60,ZVJELD,ZV,6,2,2,4,1,3003105692,30,main
1,S01_old_lowC,old,1,71,6,whole,60,RQHUAJ,U,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,72,6,whole,60,YLWBNZ,B,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,73,6,whole,60,NLPHQW,P,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,74,6,whole,60,HZTPYE,PE,6,2,2,4,1,3003105692,30,main
1,S01_old_lowC,old,1,75,6,whole,60,XMUQLA,MUL,6,3,3,3,1,3003105692,30,main
1,S01_old_lowC,old,1,76,6,whole,60,KNSJPW,J,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,77,6,whole,60,TSRYCB,S,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,78,6,whole,60,MLJCQD,M,6,1,1,5,1,3003105692,30,main
1,S01_old_lowC,old,1,79,6,whole,60,YGARXL,YL,6,2,2,4,1,3003105692,30,main
1,S01_old_lowC,old,1,80,6,whole,60,MEKGXC,CKG,6,3,3,3,1,3003105692,30,main
