scenario_name,trials_per_cell,parameter,lower_bound,upper_bound,n_at_lower,n_at_upper,n_simulations,min_estimate,max_estimate
S01_old_lowC,30,C_old,0.01,200.0,0,0,25,28.23865410455331,37.72805841492909
S01_old_lowC,30,K_old,0.5,6.0,0,0,25,3.2425270110576476,3.521259669489989
S01_old_lowC,30,t0_old_s,0.0,0.15,0,0,25,0.012402091359764009,0.01854178416714906
S01_old_lowC,30,C_new,0.01,200.0,0,0,25,28.23864662640766,37.72807341202496
S01_old_lowC,30,K_new,0.5,6.0,0,0,25,3.242527067499255,3.5135436033504908
S01_old_lowC,30,t0_new_s,0.0,0.15,0,0,25,0.012402094562118297,0.0185417864811854
S01_old_lowC,30,cv_C_new,0.0001,2.0,14,0,25,0.0001,0.32585132888804114
S01_old_lowC,30,C_t0var,0.01,200.0,0,0,25,28.90565474729028,37.72784568952092
S01_old_lowC,30,K_t0var,0.5,6.0,0,0,25,3.2411867467970974,3.5212604693564034
S01_old_lowC,30,t0_t0var_s,0.0,0.15,0,0,25,0.012401807405639988,0.020363857291502634
S01_old_lowC,30,sigma_t0_t0var_s,0.0001,0.06,16,0,25,0.0001,0.01205133921878656
S02_old_typical,10,C_old,0.01,200.0,0,0,25,37.22380881596716,49.19685484570814
S02_old_typical,10,K_old,0.5,6.0,0,0,25,3.497709629726609,3.7414460286534896
S02_old_typical,10,t0_old_s,0.0,0.15,0,0,25,0.013071553603110884,0.023045760347709714
S02_old_typical,10,C_new,0.01,200.0,0,0,25,38.159473031331665,57.41049344441526
S02_old_typical,10,K_new,0.5,6.0,0,0,25,3.495121013206268,3.7266605208400874
S02_old_typical,10,t0_new_s,0.0,0.15,0,0,25,0.01369984342969234,0.027259805107470465
S02_old_typical,10,cv_C_new,0.0001,2.0,9,0,25,0.0001,0.44793356092769215
S02_old_typical,10,C_t0var,0.01,200.0,0,0,25,37.22360609265865,51.825786086617576
S02_old_typical,10,K_t0var,0.5,6.0,0,0,25,3.4757356282126057,3.7407827997799763
S02_old_typical,10,t0_t0var_s,0.0,0.15,0,0,25,0.013071186708683204,0.027276030556119327
S02_old_typical,10,sigma_t0_t0var_s,0.0001,0.06,14,0,25,0.0001,0.015935172816321935
S02_old_typical,30,C_old,0.01,200.0,0,0,25,38.899298859632175,49.15144101357074
S02_old_typical,30,K_old,0.5,6.0,0,0,25,3.464611305925013,3.6789076877888256
S02_old_typical,30,t0_old_s,0.0,0.15,0,0,25,0.01618988209721135,0.019259502030564275
S02_old_typical,30,C_new,0.01,200.0,0,0,25,39.84421903839266,49.1514264691924
