trials_per_cell,criterion,truth_model,selected_model,count,n_datasets,proportion
10,AIC,new,old,21,50,0.42
10,AIC,new,new,27,50,0.54
10,AIC,new,t0var,2,50,0.04
10,AIC,old,old,19,25,0.76
10,AIC,old,new,1,25,0.04
10,AIC,old,t0var,5,25,0.2
10,AIC,t0var,old,3,25,0.12
10,AIC,t0var,new,1,25,0.04
10,AIC,t0var,t0var,21,25,0.84
10,BIC,new,old,38,50,0.76
10,BIC,new,new,12,50,0.24
10,BIC,new,t0var,0,50,0.0
10,BIC,old,old,24,25,0.96
10,BIC,old,new,1,25,0.04
10,BIC,old,t0var,0,25,0.0
10,BIC,t0var,old,8,25,0.32
10,BIC,t0var,new,0,25,0.0
10,BIC,t0var,t0var,17,25,0.68
30,AIC,new,old,32,75,0.4266666666666667
30,AIC,new,new,40,75,0.5333333333333333
30,AIC,new,t0var,3,75,0.04
30,AIC,old,old,65,75,0.8666666666666667
30,AIC,old,new,7,75,0.09333333333333334
30,AIC,old,t0var,3,75,0.04
30,AIC,t0var,old,13,50,0.26
30,AIC,t0var,new,1,50,0.02
30,AIC,t0var,t0var,36,50,0.72
30,BIC,new,old,44,75,0.5866666666666667
30,BIC,new,new,30,75,0.4
30,BIC,new,t0var,1,75,0.013333333333333334
30,BIC,old,old,75,75,1.0
30,BIC,old,new,0,75,0.0
30,BIC,old,t0var,0,75,0.0
30,BIC,t0var,old,24,50,0.48
30,BIC,t0var,new,1,50,0.02
30,BIC,t0var,t0var,25,50,0.5
