simulation_id,scenario_name,truth_model,speed_dist,trials_per_cell,true_C,true_K,true_t0_s,true_t0_ms,true_cv_C,true_sigma_t0_s,true_sigma_t0_ms,C_old,K_old,t0_old_s,t0_old_ms,loglik_old,nll_old,aic_old,bic_old,old_success,old_optimizer_message,old_n_starts,old_n_failed_starts,old_condition_rmse,C_new,K_new,t0_new_s,t0_new_ms,cv_C_new,loglik_new,nll_new,aic_new,bic_new,new_success,new_optimizer_message,new_n_starts,new_n_failed_starts,new_condition_rmse,C_t0var,K_t0var,t0_t0var_s,t0_t0var_ms,sigma_t0_t0var_s,sigma_t0_t0var_ms,loglik_t0var,nll_t0var,aic_t0var,bic_t0var,t0var_success,t0var_optimizer_message,t0var_n_starts,t0var_n_failed_starts,t0var_condition_rmse,delta_loglik_new_minus_old,delta_aic_new_minus_old,delta_bic_new_minus_old,delta_condition_rmse_new_minus_old,winner_aic_new_vs_old,winner_bic_new_vs_old,winner_condition_rmse_new_vs_old,delta_loglik_t0var_minus_old,delta_aic_t0var_minus_old,delta_bic_t0var_minus_old,delta_condition_rmse_t0var_minus_old,winner_aic_t0var_vs_old,winner_bic_t0var_vs_old,winner_condition_rmse_t0var_vs_old,delta_loglik_new_minus_t0var,delta_aic_new_minus_t0var,delta_bic_new_minus_t0var,delta_condition_rmse_new_minus_t0var,winner_aic_new_vs_t0var,winner_bic_new_vs_t0var,winner_condition_rmse_new_vs_t0var,winner_aic_3way,winner_bic_3way,winner_condition_rmse_3way,n_trials_used,n_cells_used,fit_seconds,replication_id,unit_seed,run_block
1,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,31.617320820374566,3.4110801232059993,0.014577498945127332,14.577498945127331,-435.57376333608244,435.57376333608244,877.1475266721649,889.2682908059971,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.10553449424024097,31.617318867212678,3.411080203182709,0.014577499870983815,14.577499870983816,0.0001,-435.57376349604425,435.57376349604425,879.1475269920885,895.3085458371982,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.10553450579133605,31.617181154052638,3.411080824189032,0.014577197424231872,14.577197424231873,0.0001,0.1,-435.57410779142265,435.57410779142265,879.1482155828453,895.309234427955,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.10553474315055936,-1.599618144609849e-07,2.000000319923629,6.0402550312010135,1.1551095080442053e-08,old,old,old,-0.00034445534021187996,2.0006889106804238,6.040943621957808,2.489103183844765e-07,old,old,old,0.00034429537839741897,-0.0006885907567948379,-0.0006885907567948379,-2.3735922330403447e-07,new,new,new,old,old,old,420,49,25.76760983467102,1,3003105692,main
2,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,34.23531922987219,3.3961928485116597,0.015826095678598953,15.826095678598953,-425.61503729559365,425.61503729559365,857.2300745911873,869.3508387250196,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.1386784328141423,34.235322495615705,3.396192839471913,0.01582609680418946,15.82609680418946,0.0001,-425.61503766480286,425.61503766480286,859.2300753296057,875.3910941747154,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.13867844160011694,34.23514999321979,3.3961938265029774,0.015825770280144685,15.825770280144685,0.0001,0.1,-425.6154723707753,425.6154723707753,859.2309447415506,875.3919635866603,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.13867789257837687,-3.6920920365446364e-07,2.0000007384184073,6.040255449695792,8.785974642266936e-09,old,old,old,-0.00043507518165597503,2.000870150363312,6.0411248616406965,-5.402357654282763e-07,old,old,t0var,0.00043470597245232057,-0.0008694119449046411,-0.0008694119449046411,5.490217400705433e-07,new,new,t0var,old,old,t0var,420,47,24.495157957077026,2,976400780,main
3,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,30.336466292376763,3.3112084511735027,0.012402091359764009,12.40209135976401,-447.81938977235797,447.81938977235797,901.6387795447159,913.7595436785482,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.1198712193793877,30.336465273982366,3.3112083413942504,0.012402094562118297,12.402094562118297,0.0001,-447.8193898668583,447.8193898668583,903.6387797337165,919.7997985788262,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.11987121398114467,30.336349689168856,3.3112088907182717,0.012401807405639988,12.401807405639987,0.0001,0.1,-447.8196480647387,447.8196480647387,903.6392961294774,919.8003149745871,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.11987140034523011,-9.450030802327092e-08,2.000000189000616,6.040254900278001,-5.398243033138961e-09,old,old,new,-0.0002582923807494808,2.000516584761499,6.0407712960388835,1.809658424084537e-07,old,old,old,0.00025819788044145753,-0.0005163957608829151,-0.0005163957608829151,-1.8636408544159266e-07,new,new,new,old,old,new,420,51,25.12699580192566,3,3387213021,main
4,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,31.261526532517948,3.2780831269433532,0.014534962905545725,14.534962905545726,-436.47038275550284,436.47038275550284,878.9407655110057,891.061529644838,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.1268556370826681,31.288795356717195,3.277825086354932,0.014543576939185492,14.543576939185492,0.03174498749929585,-436.4701944049621,436.4701944049621,880.9403888099242,897.1014076550339,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.12692463580925353,31.261408550356784,3.278083333234938,0.014534675736537472,14.534675736537473,0.0001,0.1,-436.47065265485185,436.47065265485185,880.9413053097037,897.1023241548133,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.12685638896269472,0.0001883505407249686,1.99962329891855,6.039878010195935,6.899872658544526e-05,old,old,old,-0.00026989934900711887,2.0005397986980142,6.040794509975399,7.518800266281822e-07,old,old,old,0.00045824988973208747,-0.0009164997794641749,-0.0009164997794641749,6.824684655881708e-05,new,new,t0var,old,old,old,420,50,26.243533849716187,4,1360466708,main
5,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,33.09514314695248,3.3782039988850556,0.01703330469982392,17.03330469982392,-439.81790578573873,439.81790578573873,885.6358115714775,897.7565757053097,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.16699304127324374,33.78324306599502,3.3710763886313475,0.017163549627387947,17.163549627387948,0.1568962910573897,-439.7073808604681,439.7073808604681,887.4147617209362,903.5757805660459,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.16691257280624083,34.716772651074436,3.368717991809368,0.020156910686211414,20.156910686211415,0.009740324020426395,9.740324020426394,-439.47673985420937,439.47673985420937,886.9534797084187,903.1144985535284,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.16760402199540284,0.11052492527062441,1.7789501494587512,5.819204860736136,-8.046846700290877e-05,old,old,new,0.3411659315293605,1.317668136941279,5.357922848218664,0.0006109807221590935,old,old,old,-0.23064100625873607,0.46128201251747214,0.46128201251747214,-0.0006914491891620023,t0var,t0var,new,old,old,new,420,52,38.86184811592102,5,876933080,main
6,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,30.849362257332974,3.2948115419742896,0.014726715689203624,14.726715689203624,-430.1220372389264,430.1220372389264,866.2440744778528,878.3648386116851,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.11228784208856578,30.8493626268859,3.294811739958518,0.014726721858150554,14.726721858150555,0.0001,-430.12203744088407,430.12203744088407,868.2440748817681,884.4050937268778,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.11228780991440135,30.849232599779192,3.2948119683037946,0.014726423456314608,14.726423456314608,0.0001,0.1,-430.12236600439167,430.12236600439167,868.2447320087833,884.405750853893,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.11228843090005183,-2.01957675471931e-07,2.000000403915351,6.0402551151927355,-3.217416442991006e-08,old,old,new,-0.00032876546526949824,2.000657530930539,6.0409122422079236,5.888114860547189e-07,old,old,old,0.0003285635075940263,-0.0006571270151880526,-0.0006571270151880526,-6.20985650484629e-07,new,new,new,old,old,new,420,48,25.376829385757446,6,3424658561,main
7,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,30.802986848485812,3.3125415759165957,0.013500931758081135,13.500931758081135,-444.25347476018794,444.25347476018794,894.5069495203759,906.6277136542082,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.11794207510009033,30.802984163783705,3.3125415189922367,0.013500928107882762,13.500928107882762,0.0001,-444.2534749161683,444.2534749161683,896.5069498323365,912.6679686774462,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.11794205969300289,30.802869013945255,3.3125418838193204,0.01350065203672081,13.50065203672081,0.0001,0.1,-444.25369859624783,444.25369859624783,896.5073971924957,912.6684160376053,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.11794136922832942,-1.5598033087371732e-07,2.0000003119606617,6.040255023238046,-1.5407087439189837e-08,old,old,new,-0.00022383605988807176,2.000447672119776,6.040702383397161,-7.058717609170762e-07,old,old,t0var,0.00022368007955719804,-0.0004473601591143961,-0.0004473601591143961,6.904646734778863e-07,new,new,t0var,old,old,t0var,420,51,25.62441635131836,7,2760304911,main
8,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,29.8830033010548,3.3670626952383675,0.016185422123107272,16.185422123107273,-447.40440329187777,447.40440329187777,900.8088065837555,912.9295707175878,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.16499248884352277,30.747754253543437,3.356350598622754,0.016413257114992922,16.413257114992923,0.18779726102588243,-447.1849315334489,447.1849315334489,902.3698630668978,918.5308819120074,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.1638594046266105,29.882896239855864,3.3670631212758986,0.016185161735535483,16.185161735535484,0.0001,0.1,-447.40460729278203,447.40460729278203,902.8092145855641,918.9702334306737,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.16499242546834306,0.219471758428881,1.561056483142238,5.6013111944196226,-0.0011330842169122723,old,old,new,-0.00020400090426164752,2.0004080018085233,6.040662713085908,-6.337517971521933e-08,old,old,t0var,0.21967575933314265,-0.4393515186662853,-0.4393515186662853,-0.0011330208417325571,new,new,new,old,old,new,420,50,27.661997079849243,8,2904491693,main
9,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,33.1510632834426,3.3462177599355387,0.01336033832038102,13.36033832038102,-454.2140387570007,454.2140387570007,914.4280775140014,926.5488416478337,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.11020175797509278,33.680274907754004,3.341217996490915,0.013566244286183554,13.566244286183554,0.12902881018545162,-454.17168795808163,454.17168795808163,916.3433759161633,932.5043947612729,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.1116574088860947,33.68126510433767,3.3421173412252716,0.014232473477213067,14.232473477213066,0.008520401346025195,8.520401346025196,-452.88038363685274,452.88038363685274,913.7607672737055,929.9217861188151,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.11345767379748976,0.042350798919073895,1.9152984021618522,5.955553113439237,0.0014556509110019156,old,old,old,1.3336551201479665,-0.667310240295933,3.3729444709814516,0.003255915822396982,t0var,old,old,-1.2913043212288926,2.582608642457785,2.582608642457785,-0.0018002649113950664,t0var,t0var,new,t0var,old,old,420,53,55.65581727027893,9,4245388044,main
10,S01_old_lowC,old,gamma,30,32.0,3.4,0.015,15.0,0.0001,0.0,0.0,29.90228667052713,3.368269040648336,0.014090182705140708,14.090182705140707,-442.53212601117826,442.53212601117826,891.0642520223565,903.1850161561888,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.09013863150297036,29.902289970565178,3.368268926100911,0.014090188789753204,14.090188789753205,0.0001,-442.5321263239855,442.5321263239855,893.064252647971,909.2252714930806,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.09013865366118187,29.902186493744114,3.368269414438618,0.014089934646503398,14.089934646503398,0.0001,0.1,-442.53231074252994,442.53231074252994,893.0646214850599,909.2256403301695,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.09013789802549618,-3.1280723078452866e-07,2.0000006256144616,6.040255336891846,2.2158211515632686e-08,old,old,old,-0.00018473135168051158,2.000369462703361,6.040624173980746,-7.334774741740713e-07,old,old,t0var,0.00018441854444972705,-0.0003688370888994541,-0.0003688370888994541,7.55635685689704e-07,new,new,t0var,old,old,t0var,420,51,24.55967950820923,10,1679802727,main
