scenario_name,trials_per_cell,truth_model,n_simulations,new_wins_aic_vs_old_n,new_wins_aic_vs_old_prop,new_wins_aic_vs_old_ci_low,new_wins_aic_vs_old_ci_high,new_wins_bic_vs_old_n,new_wins_bic_vs_old_prop,new_wins_bic_vs_old_ci_low,new_wins_bic_vs_old_ci_high,new_wins_condition_rmse_vs_old_n,new_wins_condition_rmse_vs_old_prop,new_wins_condition_rmse_vs_old_ci_low,new_wins_condition_rmse_vs_old_ci_high,mean_delta_loglik_new_minus_old,median_delta_loglik_new_minus_old,mean_delta_aic_new_minus_old,median_delta_aic_new_minus_old,mean_delta_bic_new_minus_old,median_delta_bic_new_minus_old,mean_delta_condition_rmse_new_minus_old,median_delta_condition_rmse_new_minus_old,t0var_wins_aic_vs_old_n,t0var_wins_aic_vs_old_prop,t0var_wins_aic_vs_old_ci_low,t0var_wins_aic_vs_old_ci_high,t0var_wins_bic_vs_old_n,t0var_wins_bic_vs_old_prop,t0var_wins_bic_vs_old_ci_low,t0var_wins_bic_vs_old_ci_high,t0var_wins_condition_rmse_vs_old_n,t0var_wins_condition_rmse_vs_old_prop,t0var_wins_condition_rmse_vs_old_ci_low,t0var_wins_condition_rmse_vs_old_ci_high,mean_delta_loglik_t0var_minus_old,median_delta_loglik_t0var_minus_old,mean_delta_aic_t0var_minus_old,median_delta_aic_t0var_minus_old,mean_delta_bic_t0var_minus_old,median_delta_bic_t0var_minus_old,mean_delta_condition_rmse_t0var_minus_old,median_delta_condition_rmse_t0var_minus_old,new_wins_aic_vs_t0var_n,new_wins_aic_vs_t0var_prop,new_wins_aic_vs_t0var_ci_low,new_wins_aic_vs_t0var_ci_high,new_wins_bic_vs_t0var_n,new_wins_bic_vs_t0var_prop,new_wins_bic_vs_t0var_ci_low,new_wins_bic_vs_t0var_ci_high,new_wins_condition_rmse_vs_t0var_n,new_wins_condition_rmse_vs_t0var_prop,new_wins_condition_rmse_vs_t0var_ci_low,new_wins_condition_rmse_vs_t0var_ci_high,mean_delta_loglik_new_minus_t0var,median_delta_loglik_new_minus_t0var,mean_delta_aic_new_minus_t0var,median_delta_aic_new_minus_t0var,mean_delta_bic_new_minus_t0var,median_delta_bic_new_minus_t0var,mean_delta_condition_rmse_new_minus_t0var,median_delta_condition_rmse_new_minus_t0var,old_selected_aic_3way_n,old_selected_aic_3way_prop,new_selected_aic_3way_n,new_selected_aic_3way_prop,t0var_selected_aic_3way_n,t0var_selected_aic_3way_prop,old_selected_bic_3way_n,old_selected_bic_3way_prop,new_selected_bic_3way_n,new_selected_bic_3way_prop,t0var_selected_bic_3way_n,t0var_selected_bic_3way_prop,old_selected_condition_rmse_3way_n,old_selected_condition_rmse_3way_prop,new_selected_condition_rmse_3way_n,new_selected_condition_rmse_3way_prop,t0var_selected_condition_rmse_3way_n,t0var_selected_condition_rmse_3way_prop,mean_condition_rmse_old,mean_condition_rmse_new,mean_condition_rmse_t0var,mean_fit_seconds
S01_old_lowC,30,old,25,1,0.04,0.007096050386699165,0.19544472405022525,0,0.0,0.0,0.13319649395317873,13,0.52,0.334982179531473,0.6996899607103998,0.13644031279818364,-9.450030802327092e-08,1.7271193744036326,2.000000189000616,5.767374085681017,6.040254900278001,-0.0002760798078210003,-5.398243033138961e-09,2,0.08,0.02221993369109193,0.24966512122957818,0,0.0,0.0,0.13319649395317873,14,0.56,0.37067017019564436,0.7333462505299744,0.20502936544100522,-0.00019351179452087308,1.5899412691179895,2.0003870235890417,5.630195980395374,6.040641734866426,-0.0014074305771669896,-1.8548727620526506e-07,16,0.64,0.44518154601046633,0.7975234356826436,16,0.64,0.44518154601046633,0.7975234356826436,12,0.48,0.30031003928960015,0.6650178204685269,-0.06858905264282157,0.0003285635075940263,0.13717810528564314,-0.0006571270151880526,0.13717810528564314,-0.0006571270151880526,0.0011313507693459892,5.490217400705433e-07,22,0.88,1,0.04,2,0.08,25,1.0,0,0.0,0,0.0,4,0.16,10,0.4,11,0.44,0.12044656448833845,0.12017048468051746,0.11903913391117149,29.241965026855468
S02_old_typical,10,old,25,1,0.04,0.007096050386699165,0.19544472405022525,1,0.04,0.007096050386699165,0.19544472405022525,17,0.68,0.48409913734576715,0.8279501248310887,0.2694701320876527,0.027817428042453685,1.4610597358246946,1.9443651439150926,4.402702158434028,4.886007566524427,-0.0041626129365829635,-9.1188735701353e-08,5,0.2,0.08860454100652487,0.3913133553653824,0,0.0,0.0,0.13319649395317873,12,0.48,0.30031003928960015,0.6650178204685269,0.34422130064583145,-8.033518707861731e-05,1.311557398708337,2.0001606703741572,4.253199821317671,4.941803092983491,0.000522176115275973,2.322008474386905e-08,16,0.64,0.44518154601046633,0.7975234356826436,16,0.64,0.44518154601046633,0.7975234356826436,18,0.72,0.5242302810344169,0.8571632616261843,-0.07475116855817873,0.0008705405689397594,0.14950233711635746,-0.0017410811378795188,0.14950233711635746,-0.0017410811378795188,-0.004684789051858936,-0.002361063105772221,19,0.76,1,0.04,5,0.2,24,0.96,1,0.04,0,0.0,6,0.24,14,0.56,5,0.2,0.23459296094372345,0.23043034800714046,0.23511513705899945,28.428221673965453
S02_old_typical,30,old,25,1,0.04,0.007096050386699165,0.19544472405022525,0,0.0,0.0,0.13319649395317873,15,0.6,0.40739127785127344,0.7659694233580909,0.25184450062060476,0.001208251413686412,1.4963109987587904,1.9975834971726272,5.536565710036175,6.037838208450012,1.0203864038335619e-05,-1.2295932480532734e-08,1,0.04,0.007096050386699165,0.19544472405022525,0,0.0,0.0,0.13319649395317873,15,0.6,0.40739127785127344,0.7659694233580909,0.11311521928436605,-0.00038532960746806566,1.7737695614312678,2.000770659214936,5.814024272708653,6.041025370492321,-0.00031498826027590634,-2.574408035221909e-07,21,0.84,0.6534598601976183,0.9359665239142201,21,0.84,0.6534598601976183,0.9359665239142201,12,0.48,0.30031003928960015,0.6650178204685269,0.13872928133623874,0.0007438652395421741,-0.2774585626724775,-0.0014877304790843482,-0.2774585626724775,-0.0014877304790843482,0.0003251921243142419,7.951086783419825e-08,23,0.92,1,0.04,1,0.04,25,1.0,0,0.0,0,0.0,6,0.24,9,0.36,10,0.4,0.1368445745655775,0.13685477842961583,0.1365295863053016,28.229509658813477
S03_old_highC,30,old,25,5,0.2,0.08860454100652487,0.3913133553653824,0,0.0,0.0,0.13319649395317873,15,0.6,0.40739127785127344,0.7659694233580909,0.4489384909279238,0.13246554067933403,1.1021230181441524,1.735068918641332,5.142377729421537,5.7753236299187165,-0.002862659545021012,-6.356971926696486e-05,0,0.0,0.0,0.13319649395317873,0,0.0,0.0,0.13319649395317873,6,0.24,0.11496157730326725,0.43430059955238565,-0.01847011355602035,-0.00030515427800992256,2.0369402271120407,2.00061030855602,6.077194938389425,6.040865019833404,0.00019732752943112748,2.738923050860098e-07,25,1.0,0.8668035060468213,1.0,25,1.0,0.8668035060468213,1.0,17,0.68,0.48409913734576715,0.8279501248310887,0.46740860448394417,0.13888903343678294,-0.9348172089678883,-0.2777780668735659,-0.9348172089678883,-0.2777780668735659,-0.003059987074452139,-0.0007718681428548202,20,0.8,5,0.2,0,0.0,25,1.0,0,0.0,0,0.0,7,0.28,14,0.56,4,0.16,0.12194222918310464,0.11907956963808361,0.12213955671253576,38.75639891624451
S04_new_mildVar,30,new,25,1,0.04,0.007096050386699165,0.19544472405022525,1,0.04,0.007096050386699165,0.19544472405022525,15,0.6,0.40739127785127344,0.7659694233580909,0.3520429018633922,0.10975883121642482,1.2959141962732155,1.7804823375671504,5.3361689075506,5.820737048844535,3.284469008913493e-05,-1.5308007916825517e-08,0,0.0,0.0,0.13319649395317873,0,0.0,0.0,0.13319649395317873,15,0.6,0.40739127785127344,0.7659694233580909,0.12807333463570786,-0.0003651676815934479,1.7438533307285844,2.000730335363187,5.784108042005969,6.0409850466405715,0.000606782612446205,-2.2967734394918615e-07,21,0.84,0.6534598601976183,0.9359665239142201,21,0.84,0.6534598601976183,0.9359665239142201,14,0.56,0.37067017019564436,0.7333462505299744,0.22396956722768435,0.056677618037781485,-0.4479391344553687,-0.11335523607556297,-0.4479391344553687,-0.11335523607556297,-0.0005739379223570701,-0.00012068512234258977,24,0.96,1,0.04,0,0.0,24,0.96,1,0.04,0,0.0,7,0.28,12,0.48,6,0.24,0.1304969393201027,0.13052978401019183,0.1311037219325489,27.01913992881775
S05_new_moderateVar,10,new,25,9,0.36,0.20247656431735636,0.5548184539895337,3,0.12,0.04166741357068093,0.2995619218337349,16,0.64,0.44518154601046633,0.7975234356826436,1.049029562237373,0.7611061734332623,-0.09805912447474611,0.4777876531334755,2.843583298134588,3.4194300757428095,-0.005675073401914237,-0.0031059072748060856,2,0.08,0.02221993369109193,0.24966512122957818,1,0.04,0.007096050386699165,0.19544472405022525,13,0.52,0.334982179531473,0.6996899607103998,0.23965882397257132,-8.767638578888182e-05,1.5206823520548574,2.0001753527715778,4.462324774664191,4.941817775380912,-0.0014644709552209634,-7.2002805384663304e-09,23,0.92,0.7503348787704218,0.977780066308908,23,0.92,0.7503348787704218,0.977780066308908,15,0.6,0.40739127785127344,0.7659694233580909,0.8093707382648018,0.44971580724916294,-1.6187414765296035,-0.8994316144983259,-1.6187414765296035,-0.8994316144983259,-0.0042106024466932734,-0.0031065798686104318,15,0.6,9,0.36,1,0.04,22,0.88,3,0.12,0,0.0,5,0.2,14,0.56,6,0.24,0.24187153774766998,0.23619646434575572,0.240407066792449,27.43245087623596
S05_new_moderateVar,30,new,25,14,0.56,0.37067017019564436,0.7333462505299744,7,0.28,0.1428367383738157,0.47576971896558296,13,0.52,0.334982179531473,0.6996899607103998,1.9123073442702776,1.1912986219657569,-1.8246146885405552,-0.38259724393151373,2.2156400227368294,3.657657467345871,-0.006356322747026045,-0.0016882341672560253,3,0.12,0.04166741357068093,0.2995619218337349,1,0.04,0.007096050386699165,0.19544472405022525,13,0.52,0.334982179531473,0.6996899607103998,0.38233148800837624,-0.00022937428155955786,1.2353370239832475,2.000458748563119,5.275591735260632,6.040713459840504,0.0009283716756002835,-1.2004570684731597e-07,22,0.88,0.7004380781662651,0.9583325864293191,22,0.88,0.7004380781662651,0.9583325864293191,16,0.64,0.44518154601046633,0.7975234356826436,1.5299758562619012,1.1915727587384026,-3.0599517125238025,-2.3831455174768053,-3.0599517125238025,-2.3831455174768053,-0.0072846944226263284,-0.001688114121549178,8,0.32,14,0.56,3,0.12,17,0.68,7,0.28,1,0.04,9,0.36,13,0.52,3,0.12,0.14763510259033727,0.1412787798433112,0.14856347426593752,30.951631288528443
S06_new_strongVar,10,new,25,18,0.72,0.5242302810344169,0.8571632616261843,9,0.36,0.20247656431735636,0.5548184539895337,17,0.68,0.48409913734576715,0.8279501248310887,2.316247946965127,1.7650182942155368,-2.6324958939302543,-1.5300365884310736,0.3091465286790799,1.4116058341782605,-0.00584204483132189,-0.005614718201290586,4,0.16,0.06403347608577989,0.34654013980238163,1,0.04,0.007096050386699165,0.19544472405022525,9,0.36,0.20247656431735636,0.5548184539895337,0.38759268223444904,-7.98368543541983e-06,1.2248146355311018,2.000015967370871,4.166457058140436,4.941658389980205,0.004898107522053499,3.068815200013564e-07,24,0.96,0.8045552759497747,0.9929039496133008,24,0.96,0.8045552759497747,0.9929039496133008,19,0.76,0.5656994004476144,0.8850384226967327,1.928655264730678,1.567122113026187,-3.857310529461356,-3.134244226052374,-3.857310529461356,-3.134244226052374,-0.010740152353375389,-0.007573996990584642,6,0.24,18,0.72,1,0.04,16,0.64,9,0.36,0,0.0,6,0.24,16,0.64,3,0.12,0.264601264989695,0.25875922015837305,0.2694993725117485,54.34564160346985
S06_new_strongVar,30,new,25,25,1.0,0.8668035060468213,1.0,22,0.88,0.7004380781662651,0.9583325864293191,22,0.88,0.7004380781662651,0.9583325864293191,7.783264852285131,5.933034677129854,-13.566529704570263,-9.866069354259707,-9.526274993292859,-5.825814642982323,-0.02641940658721269,-0.027932596172155377,0,0.0,0.0,0.13319649395317873,0,0.0,0.0,0.13319649395317873,15,0.6,0.40739127785127344,0.7659694233580909,0.1261608491451193,0.00023011932029248783,1.7476783017097615,1.999539761359415,5.787933012987183,6.0397944726368,0.0009407346629340218,-2.2255114576208435e-07,25,1.0,0.8668035060468213,1.0,25,1.0,0.8668035060468213,1.0,23,0.92,0.7503348787704218,0.977780066308908,7.657104003140011,5.922084955182356,-15.314208006280023,-11.844169910364712,-15.314208006280042,-11.844169910364712,-0.027360141250146706,-0.027685708510409218,0,0.0,25,1.0,0,0.0,3,0.12,22,0.88,0,0.0,2,0.08,22,0.88,1,0.04,0.18187731746069205,0.15545791087347935,0.18281805212362606,41.94060013771057
S07_t0var_moderate,30,t0var,25,1,0.04,0.007096050386699165,0.19544472405022525,0,0.0,0.0,0.13319649395317873,7,0.28,0.1428367383738157,0.47576971896558296,0.15695198817018308,-3.089178335358156e-08,1.6860960236596338,2.0000000617835667,5.726350734937018,6.040254773060951,0.000555739421250026,4.058901888204236e-08,12,0.48,0.30031003928960015,0.6650178204685269,3,0.12,0.04166741357068093,0.2995619218337349,14,0.56,0.37067017019564436,0.7333462505299744,1.5277438168991875,0.9635080188210736,-1.0554876337983752,0.07298396235785276,2.9847670774790096,4.113238673635237,-0.0030980539636753885,-1.275032059988579e-06,7,0.28,0.1428367383738157,0.47576971896558296,7,0.28,0.1428367383738157,0.47576971896558296,10,0.4,0.23403057664190918,0.5926087221487266,-1.3707918287290044,-0.9404883056262179,2.741583657458009,1.8809766112524358,2.741583657458009,1.8809766112524358,0.0036537933849254147,0.0004214928587303879,13,0.52,0,0.0,12,0.48,22,0.88,0,0.0,3,0.12,7,0.28,5,0.2,13,0.52,0.1450669297297723,0.14562266915102234,0.14196887576609693,30.729074306488037
